;Wijk;Municipality_1;Coding_3;Change_in_layout_WijkenEnBuurten_4;Number_of_Inhabitants_5;Men_6;Women_7;k_0To15Years_8;k_15To25Years_9;k_25To45Year_10;k_45To65Year_11;k_65YearsOrOlder_12;Unmarried_13;Married_14;Divorced_15;Widowed_16;WesternTotal_17;NonWesternTotal_18;Morocco_19;Netherlands_Antilles_And_Aruba_20;Suriname_21;Turkey_22;OtherNonWestern_23;BirthTotal_24;BirthRelative_25;MortalityTotal_26;MortalityRelative_27;HouseholdTotal_28;Single-person_households_29;HouseholdsWithoutChildren_30;HouseholdsWithChildren_31;AverageHousehold_Size_32;Population_Density_33;Housing_stock_34;Average_WOZValueOfProperties_35;PercentageSingle-family_home_36;PercentageMultifamily_home_37;PercentageInhabited_38;PercentageUninhabited_39;Owner-occupied_homes_40;Rental_PropertiesTotal_41;InBezitWoningcorporatie_42;OwnedOtherHosts_43;OwnershipUnknown_44;Year_of_constructionBefore2000_45;Year_of_constructionFrom2000_46;AverageElectricity_ConsumptionTotal_47;Apartment_48;Terraced_house_49;Corner_house_50;Two_Under_One_Roof_House_51;DetachedHouse_52;Rental_house_53;OwnWoning_54;Average_Natural_Gas_ConsumptionTotal_55;Apartment_56;Terraced_house_57;Corner_house_58;Two_Under_One_Roof_House_59;Detached_House_60;Rental_house_61;OwnWoning_62;Percentage_of_HomesWith_District_Heating_63;Education_levelLow_64;Level_of_education_Secondary_65;Education_levelHigh_66;Net_labor_force_participation_67;Percentage_of_Employees_68;Percentage_of_Self-Employed_69;Number_of_Income_Recipients_70;AverageIncomePerIncome_Recipient_71;AverageIncomePerInhabitant_72;k_40LowestIncomePeople_73;k_20PersonsWithHighestIncome_74;AvgStandardizedIncomeOfHouseh_75;k_40Lowest_Income_Households_76;k_20HouseholdsWithHighestIncome_77;Low-Income_Households_78;HouseholdUnderOrAroundSocialMinimum_79;HouseholdsTo110OfSocialMinimum_80;HouseholdsUp_To_120OfSocialMinimum_81;MedianWealthOfPrivateHouseh_82;PersonsByTypeBenefitAssistance_83;PersonsByTypeBenefitAO_84;PersonsPerTypeBenefitWW_85;PersonsPerTypeBenefitAOW_86;Young_PeopleWith_Youth_Care_In_Kind_87;Percentage_of_Young_PeopleWith_Youth_Care_88;WmoClients_89;WmoClientenRelatief_90;Company_LocationsTotal_91;AAgricultureForestryAndFisheries_92;BFIndustryEnEnergy_93;GIHandelEnHoreca_94;HJTransportInformationAndCommunication_95;KLFinancialServicesReal_Estate_96;MNBusiness_Services_97;OQGovernmentEducationAndCare_98;RUCultureRecreationOtherServices_99;Passenger_carSTotal_100;Passenger_carFuelPetrol_101;Passenger_carOtherFuel_102;Passenger_carSPerHousehold_103;Passenger_carSNaarSurface_104;Motorcycles_105;DistanceToGeneral_Practitioner_106;DistanceToGroteSupermarkt_107;DistanceToKinderdagverblijf_108;DistanceToSchool_109;SchoolsWithin_3Km_110;AreaTotal_111;AreaLand_112;SurfaceWater_113;Most_Common_Postal_Code_114;Coverage_percentage_115;DegreeOfUrbanality_116;Environment_Address_Density_117;CBS_Wijkcode;Gebied;Stadsdeel;Oppervlakte_m2;LNG;LAT
0;Burgwallen-Oude Zijde;Amsterdam;WK036300  ;1;4520;2485;2040;205;780;2140;945;445;3510;640;305;60;1525;815;35;45;100;50;585;35;8;20;5;3180;2155;780;245;1.4;12914.0;2974;470.0;5.0;95.0;81.0;19.0;18.0;81.0;15.0;66.0;1.0;95.0;5.0;2040.0;1980.0;3150.0;3610.0;;;1950.0;2440.0;1130.0;1090.0;1910.0;2580.0;;;1080.0;1350.0;;310.0;1160.0;2680.0;73.0;72.0;28.0;3900;39.9;36.3;41.0;24.3;31.3;59.2;12.3;13.0;12.5;15.5;17.4;3.7;90.0;60.0;60.0;400.0;;;130.0;29.0;2300;0.0;65.0;705.0;180.0;165.0;465.0;140.0;575.0;680;525;155;0.2;1949.0;120;0.3;0.2;0.4;0.5;31.3;40;35;6;         .;;1.0;7689.0;BU0363AE;Centrum-West;Centrum;403162.0;4.897634;52.372295
1;Burgwallen-Nieuwe Zijde;Amsterdam;WK036301  ;1;4025;2230;1800;160;625;2110;805;320;3165;590;230;40;1490;735;35;25;75;50;555;30;8;5;2;2880;1950;745;180;1.4;7060.0;2972;483.0;5.0;95.0;79.0;21.0;21.0;78.0;9.0;69.0;1.0;97.0;3.0;2080.0;2040.0;2930.0;2660.0;;;1990.0;2410.0;1080.0;1040.0;1800.0;2390.0;;;1050.0;1180.0;;390.0;1020.0;2480.0;75.0;75.0;25.0;3500;44.7;40.7;35.2;28.3;35.0;53.9;14.2;11.2;10.3;13.1;15.1;7.0;60.0;60.0;60.0;290.0;;;70.0;17.0;2495;0.0;65.0;1050.0;200.0;170.0;490.0;130.0;385.0;750;545;205;0.3;1313.0;90;0.4;0.3;0.6;0.8;31.6;73;57;16;         .;;1.0;9291.0;BU0363AD;Centrum-West;Centrum;725676.0;4.897119;52.3749355
2;Grachtengordel-West;Amsterdam;WK036302  ;1;6365;3330;3030;455;855;2250;1710;1095;4120;1690;405;145;2220;715;15;45;55;65;540;55;9;30;4;4095;2520;1085;490;1.6;14147.0;4317;815.0;8.0;92.0;77.0;23.0;43.0;56.0;11.0;46.0;1.0;99.0;1.0;2490.0;2370.0;3790.0;4130.0;;;2180.0;2890.0;1380.0;1300.0;2230.0;2480.0;;;1230.0;1580.0;;1290.0;910.0;3380.0;68.0;65.0;35.0;5100;72.7;62.3;30.3;41.2;61.5;38.1;30.6;8.2;7.6;8.7;9.9;102.6;30.0;80.0;50.0;990.0;;;150.0;24.0;3615;5.0;120.0;645.0;430.0;465.0;1220.0;290.0;445.0;2045;1520;525;0.5;4569.0;155;0.2;0.3;0.3;0.4;35.8;57;45;12;         .;;1.0;10691.0;BU0363AC;Centrum-West;Centrum;566891.0;4.888214;52.3733495
3;Grachtengordel-Zuid;Amsterdam;WK036303  ;1;5380;2920;2465;420;725;2075;1365;795;3565;1350;325;140;1860;690;35;40;55;60;505;40;7;20;4;3360;2015;895;450;1.6;10350.0;3502;827.0;13.0;87.0;77.0;23.0;38.0;61.0;4.0;57.0;1.0;98.0;2.0;2540.0;2320.0;3950.0;4610.0;;;2230.0;3010.0;1360.0;1220.0;2300.0;2590.0;;;1250.0;1550.0;;350.0;1010.0;3420.0;72.0;70.0;30.0;4400;92.2;77.9;28.9;39.6;73.1;39.0;28.4;8.0;7.1;8.3;9.6;58.2;40.0;60.0;50.0;730.0;;;130.0;24.0;3295;0.0;85.0;805.0;340.0;470.0;995.0;240.0;360.0;1610;1205;400;0.5;3097.0;185;0.4;0.3;0.3;0.5;41.5;64;52;12;         .;;1.0;9298.0;BU0363AG;Centrum-Oost;Centrum;639377.0;4.892784;52.365052
4;Nieuwmarkt/Lastage;Amsterdam;WK036304  ;1;9630;5000;4625;740;1130;3220;2680;1855;6315;2155;905;250;2750;1525;100;70;265;95;990;70;7;85;9;6280;3970;1460;850;1.5;13561.0;6240;519.0;3.0;97.0;89.0;11.0;29.0;70.0;39.0;31.0;1.0;91.0;9.0;2060.0;2020.0;3290.0;2870.0;;;1860.0;2520.0;960.0;930.0;1910.0;1620.0;;;920.0;1070.0;7.0;810.0;1920.0;5600.0;68.0;71.0;29.0;8100;48.7;42.7;36.8;30.6;38.4;51.4;19.0;11.0;12.6;16.3;18.6;25.3;230.0;270.0;120.0;1710.0;;;600.0;62.0;2805;0.0;105.0;455.0;300.0;220.0;830.0;295.0;600.0;2535;2045;485;0.4;3563.0;245;0.4;0.3;0.3;0.4;30.3;107;71;36;         .;;1.0;7048.0;BU0363AF;Centrum-Oost;Centrum;1062755.0;4.904438;52.37291
5;Haarlemmerbuurt;Amsterdam;WK036305  ;1;9175;4615;4555;885;805;3060;2720;1695;5850;2220;845;255;2380;1690;215;75;345;90;970;80;9;70;7;5645;3375;1330;940;1.6;16678.0;5655;536.0;2.0;98.0;90.0;10.0;29.0;70.0;42.0;28.0;0.0;77.0;23.0;2150.0;2110.0;3610.0;4560.0;3340.0;3880.0;1900.0;2720.0;1030.0;1000.0;1840.0;2620.0;2470.0;2640.0;1010.0;1070.0;4.3;1240.0;1600.0;4880.0;69.0;69.0;31.0;7600;47.2;40.5;36.0;30.0;38.0;49.4;20.2;11.3;11.9;16.1;18.8;29.9;300.0;310.0;120.0;1560.0;;;630.0;69.0;2740;0.0;115.0;450.0;285.0;190.0;845.0;310.0;545.0;5110;1630;3480;0.9;9338.0;240;0.3;0.4;0.3;0.5;21.6;81;55;27;         .;;1.0;8105.0;BU0363AA;Centrum-West;Centrum;811434.0;4.89022;52.383729
6;Jordaan;Amsterdam;WK036306  ;1;19405;9835;9565;1485;1975;7260;5365;3320;13350;3850;1710;490;5480;2975;360;175;455;265;1730;175;9;140;7;12935;8480;2815;1640;1.5;23380.0;13217;483.0;4.0;96.0;89.0;11.0;26.0;73.0;32.0;42.0;1.0;96.0;4.0;1870.0;1810.0;3420.0;3150.0;;;1690.0;2410.0;980.0;940.0;1940.0;2070.0;;;910.0;1190.0;;1800.0;4460.0;10470.0;70.0;71.0;29.0;16700;46.2;40.9;37.4;28.1;36.8;54.0;16.7;12.3;13.3;17.2;20.2;19.0;660.0;660.0;280.0;3060.0;;;1265.0;65.0;5195;0.0;255.0;860.0;490.0;340.0;1575.0;610.0;1060.0;3840;3155;685;0.3;4598.0;520;0.3;0.3;0.2;0.4;36.2;95;83;11;         .;;1.0;11378.0;BU0363AB;Centrum-West;Centrum;942953.0;4.8814385;52.3745525
7;De Weteringschans;Amsterdam;WK036307  ;1;7330;3775;3555;645;890;3085;1730;975;5080;1665;445;140;2375;1030;45;65;90;90;735;75;10;30;5;4600;2775;1200;625;1.6;13088.0;4665;617.0;7.0;93.0;84.0;16.0;37.0;62.0;11.0;51.0;0.0;95.0;5.0;2270.0;2150.0;3850.0;4540.0;;;1960.0;2770.0;1170.0;1090.0;2200.0;2520.0;;;1050.0;1360.0;;780.0;1550.0;4060.0;73.0;73.0;27.0;6100;58.0;49.6;30.1;38.3;45.1;41.9;25.2;8.5;8.4;10.6;12.1;42.4;110.0;110.0;70.0;880.0;;;245.0;33.0;2740;0.0;95.0;530.0;260.0;300.0;875.0;285.0;400.0;1690;1350;340;0.4;3037.0;200;0.3;0.3;0.3;0.4;43.7;65;56;9;         .;;1.0;9591.0;BU0363AH;Centrum-Oost;Centrum;645259.0;4.891926;52.362056
8;Weesperbuurt/Plantage;Amsterdam;WK036308  ;1;7545;3890;3650;635;1040;2775;1895;1195;5230;1575;555;185;2115;1225;105;70;250;85;715;75;10;70;9;4585;2900;1085;610;1.5;9671.0;4306;559.0;2.0;98.0;88.0;12.0;35.0;65.0;29.0;36.0;0.0;95.0;5.0;2110.0;2050.0;4610.0;3960.0;;4610.0;1840.0;2610.0;1070.0;1040.0;2280.0;2510.0;;2270.0;970.0;1260.0;;640.0;1490.0;4050.0;69.0;72.0;28.0;5900;53.1;46.1;34.2;34.0;48.8;47.4;22.1;9.3;9.1;12.7;14.7;33.6;130.0;160.0;80.0;1100.0;;;445.0;59.0;2210;0.0;75.0;215.0;260.0;200.0;735.0;315.0;400.0;1960;1400;560;0.4;2522.0;150;0.4;0.3;0.3;0.4;36.5;92;78;14;         .;;1.0;7816.0;BU0363AJ;Centrum-Oost;Centrum;916332.0;4.911765;52.364456
9;Oostelijke Eilanden/Kadijken;Amsterdam;WK036309  ;1;13715;6965;6745;1395;1570;4570;3960;2220;9110;3000;1305;305;2780;3685;695;160;905;270;1660;130;10;110;8;8065;4860;1675;1525;1.6;13852.0;7251;448.0;2.0;98.0;96.0;4.0;30.0;70.0;48.0;21.0;0.0;84.0;16.0;1960.0;1940.0;3060.0;3530.0;2820.0;;1780.0;2370.0;870.0;860.0;1230.0;2030.0;1770.0;;850.0;910.0;;2280.0;3030.0;6380.0;67.0;76.0;24.0;11200;41.3;35.6;40.0;25.3;33.1;53.6;16.4;12.5;13.2;17.5;20.8;16.4;600.0;650.0;170.0;2060.0;;;1010.0;74.0;2940;0.0;140.0;305.0;395.0;150.0;910.0;440.0;590.0;3090;2485;610;0.4;3133.0;400;0.6;0.4;0.4;0.5;26.1;130;99;32;         .;;1.0;6393.0;BU0363AK;Centrum-Oost;Centrum;1299042.0;4.921829;52.370721
