;Wijk;LAT;LNG;economic_disadvantage;socio_disadvantage;isolation;demographic_demand;ratio_women;metric
0;Burgwallen-Oude Zijde;52.372295;4.897634;0.5506773065839414;0.04758033175525238;0.017785734910580962;0.1933786158726617;0.5502426694010638;1.3596646585235002
1;Burgwallen-Nieuwe Zijde;52.3749355;4.897119;0.4097911133974056;0.07283802298447753;0.04323499399661915;0.16703845126030337;0.5298671348322029;1.2227697164710085
2;Grachtengordel-West;52.3733495;4.888214;0.2833684371311899;0.09688906417395074;0.011016907174450525;0.2883840342437285;0.6723902377504797;1.3520486804737994
3;Grachtengordel-Zuid;52.365052;4.892784;0.23703767727563402;0.02850785372362533;0.019305785634487625;0.28331544530793934;0.5841041820111464;1.152270943952833
4;Nieuwmarkt/Lastage;52.37291;4.904438;0.45408397213836493;0.05210128247686512;0.0202267081912693;0.3164949099569839;0.6932930276712623;1.5361999004347455
5;Haarlemmerbuurt;52.383729;4.89022;0.44299924981358135;0.10697552346218524;0.030026977112011966;0.3833193660769081;0.7733021037462751;1.7366232202109617
6;Jordaan;52.3745525;4.8814385;0.4813041240242891;0.05637361604415384;0.011350785977444326;0.3222545345866382;0.755787800086176;1.6270708607187014
7;De Weteringschans;52.362056;4.891926;0.27381060412171015;0.059843059374819325;0.011958798685370193;0.32389247770407825;0.7166376795218155;1.3861426194077935
8;Weesperbuurt/Plantage;52.364456;4.911765;0.37395584185152875;0.05424462726113255;0.01751933564651617;0.3181688960624048;0.7105627944618959;1.474451495283478
9;Oostelijke Eilanden/Kadijken;52.370721;4.921829;0.5445484555472524;0.20071798649424769;0.04259201288449539;0.4085908502213495;0.7502674773083122;1.9467167824556573
10;Westelijk Havengebied;;;0.8531428371654863;0.06787450057236029;0.7086242841195576;0.14928896485145085;0.3647269401747855;2.1436575268836404
11;Bedrijventerrein Sloterdijk;;;0.9103600963686739;0.37036660804675875;0.5687916091479306;0.0;0.18735755772725612;2.0368758712906194
12;Houthavens;52.3937845;4.8803175;0.0;0.030847331278337095;0.07170278052584982;0.5632162439538163;0.7002744301211542;1.3660407858791574
